country,gdp,year1,change,year2,gini,year3,gdp1995,year4,diff
Pakistan,5200,2021,0,2016,31.3,2015,455.5079732,1995,0
Panama,29000,2021,1,2016,49.2,2018,3524.881271,1995,1
Papua New Guinea,3700,2021,0,2016,50.9,1996,1004.249699,1995,0
Paraguay,13700,2021,0,2016,46,2018,1968.352487,1995,1
Peru,12500,2021,0,2016,42.4,2018,2180.566639,1995,1
Philippines,8100,2021,0,2016,44.6,2015,1222.292531,1995,0
Poland,34900,2021,0,2016,29.7,2017,3686.844639,1995,1
Portugal,33700,2021,0,2016,33.8,2017,11781.36185,1995,1
Qatar,92900,2021,0,2016,41.1,2007,15797.69104,1995,0
Romania,30800,2021,0,2016,36,2017,1650.052605,1995,1
Russia,28000,2021,1,2016,37.5,2018,2665.779785,1995,1
Rwanda,2200,2021,0,2016,43.7,2016,227.4588747,1995,0
Saint Lucia,13000,2021,0,2016,51.2,2016,5008.02743,1995,0
Samoa,5500,2021,0,2016,38.7,2013,1285.66701,1995,0
Saudi Arabia,44300,2021,0,2016,45.9,2013,7588.761234,1995,0
Senegal,3500,2021,1,2016,40.3,2011,732.8363732,1995,0
Serbia,19800,2021,0,2016,36.2,2017,2207.450598,1995,1
Seychelles,28800,2021,0,2016,46.8,2013,7180.668327,1995,0
Sierra Leone,1600,2021,1,2016,35.7,2018,201.3711228,1995,1
Singapore,106000,2021,0,2016,45.9,2017,24914.8507,1995,1
Slovakia,31900,2021,0,2016,25.2,2016,4819.125555,1995,0
Slovenia,40000,2021,0,2016,24.2,2017,10730.45101,1995,1
Solomon Islands,2400,2021,1,2016,37.1,2013,1251.217924,1995,0
South Africa,13300,2021,0,2016,63,2014,3904.324238,1995,0
Spain,37900,2021,0,2016,34.7,2017,15471.96272,1995,1
Sri Lanka,13400,2021,1,2016,39.3,2016,716.8007675,1995,0
Sudan,3700,2021,0,2016,34.2,2014,483.7037659,1995,0
Sweden,53600,2021,0,2016,28.8,2017,30283.09835,1995,1
Switzerland,71000,2021,0,2016,32.7,2017,50115.13886,1995,1
Tajikistan,3900,2021,1,2016,34,2015,208.1695625,1995,0
Tanzania,2600,2021,1,2016,40.5,2017,176.9260254,1995,1
Thailand,17100,2021,1,2016,36.4,2018,2848.62249,1995,1
Togo,2100,2021,1,2016,43.1,2015,415.7778133,1995,0
Tonga,6100,2021,1,2016,37.6,2015,2089.197173,1995,0
Tunisia,10400,2021,1,2016,32.8,2015,1940.034293,1995,0
Turkey,31500,2021,0,2016,41.9,2018,2855.036765,1995,1
Turkmenistan,15000,2019,0,2016,40.8,1998,587.2840894,1995,0
Tuvalu,4900,2021,0,2016,39.1,2010,1150.305635,1995,0
Uganda,2200,2021,1,2016,42.8,2016,278.3166133,1995,0
Ukraine,12900,2021,1,2016,26.1,2018,935.9589844,1995,1
United Arab Emirates,69700,2021,0,2016,32.5,2014,27010.67819,1995,0
United Kingdom,45000,2021,0,2016,34.8,2016,23203.6289,1995,0
United States,63700,2021,0,2016,41.1,2016,28690.8757,1995,0
Uruguay,22800,2021,0,2016,39.7,2018,6014.918523,1995,1
Uzbekistan,7700,2021,0,2016,36.8,2003,585.9323642,1995,0
Vanuatu,2800,2021,0,2016,37.4,2010,1461.405119,1995,0
Venezuela,12500,2017,0,2016,39,2011,3500.632677,1995,0
Vietnam,10600,2021,0,2016,35.7,2018,281.1336045,1995,1
West Bank,5600,2021,0,2016,33.7,2016,1326.562857,1995,0
Yemen,2500,2017,1,2016,36.7,2014,264.4661909,1995,0
Zambia,3200,2021,0,2016,57.1,2015,438.3836362,1995,0
Zimbabwe,2100,2021,1,2016,44.3,2017,646.8295598,1995,1
